#{"t_start": 1775240036.3834953, "env_id": "None"}
r,l,t
0.0,52,15.12728
0.0,39,15.127344
0.0,67,15.16011
0.0,18,15.164798
0.0,24,15.178915
0.0,9,15.184889
0.0,15,15.189929
0.0,20,15.286524
0.0,37,15.303358
0.0,12,15.303426
0.0,20,15.326241
0.0,17,15.344033
0.0,7,15.351715
0.0,34,15.447743
0.0,22,15.499228
0.0,20,15.516915
0.0,8,15.606659
0.0,33,15.635145
0.0,16,15.657762
0.0,22,15.66618
0.0,8,15.672921
0.0,57,15.697081
0.0,40,15.715407
0.0,7,15.728135
0.0,19,15.82383
0.0,13,15.823873
0.0,19,15.841164
0.0,29,15.870991
0.0,69,15.878456
0.0,36,15.884298
0.0,8,15.929554
0.0,105,15.929609
0.0,18,15.92963
0.0,5,15.96325
0.0,14,15.988218
0.0,13,16.047075
0.0,30,16.066605
0.0,29,16.09034
0.0,53,16.104658
0.0,11,16.154418
0.0,22,16.157044
0.0,9,16.182922
0.0,22,16.223537
0.0,17,16.269921
0.0,44,16.277062
0.0,30,16.325754
0.0,24,16.347446
0.0,10,16.380021
0.0,30,16.433419
0.0,10,16.442859
0.0,18,16.442951
0.0,82,16.461355
0.0,12,16.505121
0.0,13,16.505176
0.0,23,16.522229
0.0,72,16.536503
0.0,18,16.549156
0.0,34,16.55478
0.0,11,16.560153
0.0,23,16.560194
0.0,7,16.574228
0.0,8,16.595587
0.0,21,16.639527
0.0,15,16.639564
0.0,12,16.643322
0.0,18,16.646949
0.0,8,16.683014
0.0,16,16.683043
0.0,36,16.688238
0.0,80,16.738122
0.0,8,16.746003
0.0,12,16.777582
0.0,38,16.793741
0.0,13,16.7938
0.0,8,16.805017
0.0,7,16.819311
0.0,11,16.826621
0.0,33,16.826646
